"FIPS","Year","State","ST","FIPS State","County","Population","Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
"08014","2012","Colorado","CO","8","Broomfield County, CO","58,949","12.1-14"
"41069","2013","Oregon","OR","41","Wheeler County, OR","1,390","14.1-16"
"09011","2015","Connecticut","CT","9","New London County, CT","271,863","18.1-20"
"36117","2012","New York","NY","36","Wayne County, NY","93,017","4.1-6"
"48263","2015","Texas","TX","48","Kent County, TX","764","4.1-6"
"04012","2013","Arizona","AZ","4","La Paz County, AZ","20,377",">30"
"26073","2011","Michigan","MI","26","Isabella County, MI","70,656","8.1-10"
"05011","2006","Arkansas","AR","5","Bradley County, AR","11,778","2.1-4"
"27113","2012","Minnesota","MN","27","Pennington County, MN","14,094","10.1-12"
"13291","2014","Georgia","GA","13","Union County, GA","21,952","18.1-20"
"13295","2011","Georgia","GA","13","Walker County, GA","68,617","14.1-16"
"01077","1999","Alabama","AL","1","Lauderdale County, AL","87,590","2.1-4"
"46033","2015","South Dakota","SD","46","Custer County, SD","8,446","16.1-18"
"08091","2007","Colorado","CO","8","Ouray County, CO","4,250","6.1-8"
"27033","2014","Minnesota","MN","27","Cottonwood County, MN","11,589","10.1-12"
"46105","2014","South Dakota","SD","46","Perkins County, SD","3,045","14.1-16"
"38055","2012","North Dakota","ND","38","McLean County, ND","9,372","6.1-8"
"30035","2011","Montana","MT","30","Glacier County, MT","13,563","18.1-20"
"21141","2014","Kentucky","KY","21","Logan County, KY","26,882","14.1-16"
"49043","2015","Utah","UT","49","Summit County, UT","39,633","14.1-16"
"13121","2010","Georgia","GA","13","Fulton County, GA","926,038","10.1-12"
"45085","2010","South Carolina","SC","45","Sumter County, SC","107,571","4.1-6"
"19153","2010","Iowa","IA","19","Polk County, IA","432,270","8.1-10"
"21115","2005","Kentucky","KY","21","Johnson County, KY","23,332","22.1-24"
"21019","2014","Kentucky","KY","21","Boyd County, KY","48,709",">30"
"06099","2007","California","CA","6","Stanislaus County, CA","507,834","12.1-14"
"17123","2013","Illinois","IL","17","Marshall County, IL","12,116","10.1-12"
"51157","2011","Virginia","VA","51","Rappahannock County, VA","7,500","14.1-16"
"42017","2013","Pennsylvania","PA","42","Bucks County, PA","626,313","18.1-20"
"08045","2008","Colorado","CO","8","Garfield County, CO","55,449","8.1-10"
"20049","2004","Kansas","KS","20","Elk County, KS","3,073","4.1-6"
"34003","2014","New Jersey","NJ","34","Bergen County, NJ","932,836","8.1-10"
"13133","2015","Georgia","GA","13","Greene County, GA","16,710","10.1-12"
"05125","2010","Arkansas","AR","5","Saline County, AR","107,675","10.1-12"
"38103","2010","North Dakota","ND","38","Wells County, ND","4,199","0-2"
"05137","2003","Arkansas","AR","5","Stone County, AR","11,704","6.1-8"
"13209","2010","Georgia","GA","13","Montgomery County, GA","9,093","8.1-10"
"20181","2000","Kansas","KS","20","Sherman County, KS","6,746","2.1-4"
"55133","2013","Wisconsin","WI","55","Waukesha County, WI","394,025","10.1-12"
"33015","2010","New Hampshire","NH","33","Rockingham County, NH","295,333","10.1-12"
"21187","2003","Kentucky","KY","21","Owen County, KY","10,732","8.1-10"
"05015","2014","Arkansas","AR","5","Carroll County, AR","27,722","20.1-22"
"47095","2008","Tennessee","TN","47","Lake County, TN","7,812","6.1-8"
"37089","2011","North Carolina","NC","37","Henderson County, NC","107,514","18.1-20"
"51159","2014","Virginia","VA","51","Richmond County, VA","8,871","12.1-14"
"01109","2015","Alabama","AL","1","Pike County, AL","33,046","8.1-10"
"01033","2008","Alabama","AL","1","Colbert County, AL","54,473","4.1-6"
"13321","2012","Georgia","GA","13","Worth County, GA","21,464","8.1-10"
"39033","2015","Ohio","OH","39","Crawford County, OH","42,306","18.1-20"
"31061","2012","Nebraska","NE","31","Franklin County, NE","3,191","4.1-6"
"08061","2012","Colorado","CO","8","Kiowa County, CO","1,438","8.1-10"
"02290","2007","Alaska","AK","2","Yukon-Koyukuk Census Area, AK","5,712","8.1-10"
"34005","2014","New Jersey","NJ","34","Burlington County, NJ","450,677","14.1-16"
"36097","2014","New York","NY","36","Schuyler County, NY","18,301","8.1-10"
"34025","2011","New Jersey","NJ","34","Monmouth County, NJ","629,815","10.1-12"
"45003","2013","South Carolina","SC","45","Aiken County, SC","164,082","16.1-18"
"30051","2009","Montana","MT","30","Liberty County, MT","2,283","2.1-4"
"46043","2015","South Dakota","SD","46","Douglas County, SD","2,977","2.1-4"
